


--------------------------------------------
Algorithm: 0
--------------------------------------------


Procs: 2

Iter: 1
# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations  P50 Tail Lat(us)  P95 Tail Lat(us)  P99 Tail Lat(us)
32                      0.38              0.17              0.51      100000              0.36              0.47              0.58
64                      0.39              0.21              0.51      100000              0.37              0.47              0.51
128                     0.76              0.54              0.92      100000              0.76              0.92              0.96
256                     0.71              0.49              0.85      100000              0.69              0.82              0.90
512                     0.85              0.53              1.10      100000              0.82              1.01              1.11
1024                    0.95              0.57              1.24      100000              0.92              1.13              1.22
2048                    1.58              1.05              1.99      100000              1.57              1.84              1.95
4096                    2.62              1.96              3.16      100000              2.61              2.83              2.99
8192                    4.12              0.82              6.45      100000              4.06              4.45              4.79
16384                   8.82              8.30              9.72      100000              8.35             11.88             12.82
32768                  10.89             10.12             11.86      100000             10.02             14.30             16.31
65536                  18.28             17.38             19.42      100000             18.07             23.78             26.45
131072                 36.81             36.00             38.47      100000             37.73             52.76             57.03
262144                 80.79             77.64             84.08      100000             81.35             94.83            105.23
524288                215.67            213.30            218.14      100000            218.87            239.43            249.62
1048576               376.99            213.59            453.42      100000            367.96            392.19            580.67

Iter: 1000000
